source,target,origin
COL4A6,ITGB8,stMLnet
COL4A6,SDC1,stMLnet
COL4A6,SDC4,stMLnet
COL5A1,ITGA1,stMLnet
COL5A1,ITGB1,stMLnet
COL5A1,SDC3,stMLnet
COL5A2,ITGA1,stMLnet
COL5A2,ITGB1,stMLnet
COL5A3,SDC3,stMLnet
COL6A1,CD44,stMLnet
COL6A1,GP6,stMLnet
COL6A1,ITGA1,stMLnet
COL6A1,ITGA10,stMLnet
COL6A1,ITGA11,stMLnet
COL6A1,ITGA2,stMLnet
COL6A1,ITGA3,stMLnet
COL6A1,ITGA6,stMLnet
COL6A1,ITGA9,stMLnet
COL6A1,ITGAV,stMLnet
COL6A1,ITGB1,stMLnet
COL6A1,ITGB8,stMLnet
COL6A1,SDC1,stMLnet
COL6A1,SDC4,stMLnet
COL6A2,CD44,stMLnet
COL6A2,GP6,stMLnet
COL6A2,ITGA1,stMLnet
COL6A2,ITGA10,stMLnet
COL6A2,ITGA11,stMLnet
COL6A2,ITGA2,stMLnet
COL6A2,ITGA3,stMLnet
COL6A2,ITGA9,stMLnet
COL6A2,ITGAV,stMLnet
COL6A2,ITGB1,stMLnet
COL6A2,ITGB8,stMLnet
COL6A2,SDC1,stMLnet
COL6A2,SDC4,stMLnet
COL6A3,CD44,stMLnet
COL6A3,GP6,stMLnet
COL6A3,ITGA1,stMLnet
COL6A3,ITGA10,stMLnet
COL6A3,ITGA11,stMLnet
COL6A3,ITGA2,stMLnet
COL6A3,ITGA3,stMLnet
COL6A3,ITGA9,stMLnet
COL6A3,ITGAV,stMLnet
COL6A3,ITGB1,stMLnet
COL6A3,ITGB8,stMLnet
COL6A3,SDC1,stMLnet
COL6A3,SDC4,stMLnet
COL6A5,CD44,stMLnet
COL6A5,GP6,stMLnet
COL6A5,ITGA1,stMLnet
COL6A5,ITGA10,stMLnet
COL6A5,ITGA11,stMLnet
COL6A5,ITGA2,stMLnet
COL6A5,ITGA3,stMLnet
COL6A5,ITGA9,stMLnet
COL6A5,ITGAV,stMLnet
COL6A5,ITGB1,stMLnet
COL6A5,ITGB8,stMLnet
COL6A5,SDC1,stMLnet
COL6A5,SDC4,stMLnet
COL6A6,CD44,stMLnet
COL6A6,GP6,stMLnet
COL6A6,ITGA1,stMLnet
COL6A6,ITGA10,stMLnet
COL6A6,ITGA11,stMLnet
COL6A6,ITGA2,stMLnet
COL6A6,ITGA3,stMLnet
COL6A6,ITGA9,stMLnet
COL6A6,ITGAV,stMLnet
COL6A6,ITGB1,stMLnet
COL6A6,ITGB8,stMLnet
COL6A6,SDC1,stMLnet
COL6A6,SDC4,stMLnet
COL7A1,ITGA2,stMLnet
COL7A1,ITGB1,stMLnet
COL8A1,ITGA1,stMLnet
COL8A1,ITGA2,stMLnet
COL9A1,CD44,stMLnet
COL9A1,GP6,stMLnet
COL9A1,ITGA1,stMLnet
COL9A1,ITGA10,stMLnet
COL9A1,ITGA11,stMLnet
COL9A1,ITGA2,stMLnet
COL9A1,ITGA3,stMLnet
COL9A1,ITGA9,stMLnet
COL9A1,ITGAV,stMLnet
COL9A1,ITGB1,stMLnet
COL9A1,ITGB8,stMLnet
COL9A1,MAG,stMLnet
COL9A1,SDC1,stMLnet
COL9A1,SDC4,stMLnet
COL9A2,CD44,stMLnet
COL9A2,GP6,stMLnet
COL9A2,ITGA1,stMLnet
COL9A2,ITGA10,stMLnet
COL9A2,ITGA11,stMLnet
COL9A2,ITGA2,stMLnet
COL9A2,ITGA3,stMLnet
COL9A2,ITGA9,stMLnet
COL9A2,ITGAV,stMLnet
COL9A2,ITGB1,stMLnet
COL9A2,ITGB8,stMLnet
COL9A2,MAG,stMLnet
COL9A2,SDC1,stMLnet
COL9A2,SDC4,stMLnet
COL9A3,CD44,stMLnet
COL9A3,GP6,stMLnet
COL9A3,ITGA1,stMLnet
COL9A3,ITGA10,stMLnet
COL9A3,ITGA11,stMLnet
COL9A3,ITGA2,stMLnet
COL9A3,ITGA3,stMLnet
COL9A3,ITGA9,stMLnet
COL9A3,ITGAV,stMLnet
COL9A3,ITGB1,stMLnet
COL9A3,ITGB8,stMLnet
COL9A3,MAG,stMLnet
COL9A3,SDC1,stMLnet
COL9A3,SDC4,stMLnet
COLQ,MUSK,stMLnet
COMP,CD36,stMLnet
COMP,CD47,stMLnet
COMP,ITGA2B,stMLnet
COMP,ITGA3,stMLnet
COMP,ITGA5,stMLnet
COMP,ITGAV,stMLnet
COMP,ITGB1,stMLnet
COMP,ITGB3,stMLnet
COMP,SDC1,stMLnet
COMP,SDC4,stMLnet
COPA,NTSR2,stMLnet
CORT,GHSR,stMLnet
CORT,SSTR1,stMLnet
CORT,SSTR2,stMLnet
CORT,SSTR3,stMLnet
CORT,SSTR4,stMLnet
CORT,SSTR5,stMLnet
CP,SLC40A1,stMLnet
CPAMD8,SCTR,stMLnet
CRH,CRHR1,stMLnet
CRH,CRHR2,stMLnet
CRH,MC2R,stMLnet
CRLF1,CNTFR,stMLnet
CRP,OLR1,stMLnet
CRTAM,CADM1,stMLnet
CSF1,CSF1R,stMLnet
CSF2,CSF1R,stMLnet
CSF2,CSF2RA,stMLnet
CSF2,CSF2RB,stMLnet
CSF2,CSF3R,stMLnet
CSF2,IL3RA,stMLnet
CSF2,ITGA9,stMLnet
CSF2,ITGB1,stMLnet
CSF2,SDC2,stMLnet
CSF3,CSF1R,stMLnet
CSF3,CSF3R,stMLnet
CSH1,GHR,stMLnet
CSH1,PRLR,stMLnet
CSH2,PRLR,stMLnet
CSHL1,GHR,stMLnet
CSHL1,PRLR,stMLnet
CSPG4,ITGA3,stMLnet
CSPG4,ITGB1,stMLnet
CTF1,IL6ST,stMLnet
CTF1,LIFR,stMLnet
CTGF,ITGA5,stMLnet
CTGF,ITGAM,stMLnet
CTGF,ITGB2,stMLnet
CTGF,LRP1,stMLnet
CTGF,LRP6,stMLnet
CTGF,NTRK1,stMLnet
CTHRC1,FZD3,stMLnet
CTHRC1,FZD5,stMLnet
CTHRC1,FZD6,stMLnet
CTHRC1,ROR2,stMLnet
CTSG,F2R,stMLnet
CTSG,F2RL1,stMLnet
CTSG,F2RL2,stMLnet
CTSG,F2RL3,stMLnet
CTSG,PARD3,stMLnet
CX3CL1,CX3CR1,stMLnet
CX3CL1,ITGAV,stMLnet
CX3CL1,ITGB3,stMLnet
CXADR,CXADR,stMLnet
CXADR,JAML,stMLnet
CXCL1,ACKR1,stMLnet
CXCL1,CXCR1,stMLnet
CXCL1,CXCR2,stMLnet
CXCL10,ACKR1,stMLnet
CXCL10,CCR3,stMLnet
CXCL10,CXCR3,stMLnet
CXCL10,SDC4,stMLnet
CXCL11,ACKR1,stMLnet
CXCL11,ACKR3,stMLnet
CXCL11,CCR3,stMLnet
CXCL11,CXCR3,stMLnet
CXCL12,ACKR3,stMLnet
CXCL12,CCR4,stMLnet
CXCL12,CD4,stMLnet
CXCL12,CXCR3,stMLnet
CXCL12,CXCR4,stMLnet
CXCL12,ITGA4,stMLnet
CXCL12,ITGA5,stMLnet
CXCL12,ITGAV,stMLnet
CXCL12,ITGB1,stMLnet
CXCL12,ITGB3,stMLnet
CXCL12,SDC4,stMLnet
CXCL13,ACKR1,stMLnet
CXCL13,ACKR4,stMLnet
CXCL13,CCR10,stMLnet
CXCL13,CXCR3,stMLnet
CXCL13,CXCR5,stMLnet
CXCL13,HTR2A,stMLnet
CXCL13,OPRD1,stMLnet
CXCL14,CXCR4,stMLnet
CXCL16,CXCR6,stMLnet
CXCL2,ACKR1,stMLnet
CXCL2,CXCR1,stMLnet
CXCL2,CXCR2,stMLnet
CXCL2,XCR1,stMLnet
CXCL3,ACKR1,stMLnet
CXCL3,CXCR1,stMLnet
CXCL3,CXCR2,stMLnet
CXCL5,ACKR1,stMLnet
CXCL5,CXCR1,stMLnet
CXCL5,CXCR2,stMLnet
CXCL6,ACKR1,stMLnet
CXCL6,CXCR1,stMLnet
CXCL6,CXCR2,stMLnet
CXCL8,ACKR1,stMLnet
CXCL8,CXCR1,stMLnet
CXCL8,CXCR2,stMLnet
CXCL8,SDC1,stMLnet
CXCL8,SDC2,stMLnet
CXCL9,ACKR1,stMLnet
CXCL9,CCR3,stMLnet
CXCL9,CXCR3,stMLnet
CYR61,CAV1,stMLnet
CYR61,ITGA5,stMLnet
CYR61,ITGAM,stMLnet
CYR61,ITGAV,stMLnet
CYR61,ITGB2,stMLnet
CYR61,ITGB3,stMLnet
CYR61,ITGB5,stMLnet
CYTL1,CCR2,stMLnet
DAG1,LAMA4,stMLnet
DCN,EGFR,stMLnet
DCN,ERBB4,stMLnet
DCN,MET,stMLnet
DCN,TLR2,stMLnet
DCN,TLR4,stMLnet
DEFB1,CCR6,stMLnet
DEFB103A,CCR6,stMLnet
DEFB103B,CCR2,stMLnet
DEFB103B,CCR6,stMLnet
DEFB106A,CCR2,stMLnet
DEFB4A,CCR6,stMLnet
DEFB4A,TLR4,stMLnet
DEFB4B,CCR6,stMLnet
DHH,BOC,stMLnet
DHH,CDON,stMLnet
DHH,HHIP,stMLnet
DHH,PTCH1,stMLnet
DHH,PTCH2,stMLnet
DHH,SMO,stMLnet
DKK1,KREMEN1,stMLnet
DKK1,KREMEN2,stMLnet
DKK1,LRP4,stMLnet
DKK1,LRP5,stMLnet
DKK1,LRP6,stMLnet
DKK2,KREMEN1,stMLnet
DKK2,KREMEN2,stMLnet
DKK2,LRP5,stMLnet
DKK2,LRP6,stMLnet
DKK4,KREMEN1,stMLnet
DKK4,KREMEN2,stMLnet
DKK4,LRP6,stMLnet
DLK2,NOTCH1,stMLnet
DMP1,ITGAV,stMLnet
DMP1,ITGB3,stMLnet
DSC1,DSG1,stMLnet
DSC1,DSG2,stMLnet
DSC1,DSG3,stMLnet
DSC1,DSG4,stMLnet
DSC2,DSG1,stMLnet
DSC2,DSG2,stMLnet
DSC2,DSG3,stMLnet
DSC2,DSG4,stMLnet
DSC3,DSG1,stMLnet
DSC3,DSG2,stMLnet
DSC3,DSG3,stMLnet
DSC3,DSG4,stMLnet
DSCAM,DCC,stMLnet
DSG1,DSC3,stMLnet
DSG2,DSC1,stMLnet
DSG2,DSC3,stMLnet
DSPP,ITGAV,stMLnet
DSPP,ITGB1,stMLnet
DSPP,ITGB6,stMLnet
DUSP18,CD151,stMLnet
DUSP18,ITGA1,stMLnet
DUSP18,ITGA2,stMLnet
DUSP18,ITGA3,stMLnet
DUSP18,ITGA6,stMLnet
DUSP18,ITGA7,stMLnet
DUSP18,ITGB1,stMLnet
DUSP18,ITGB4,stMLnet
DUSP18,RPSA,stMLnet
EBI3,IL27RA,stMLnet
EBI3,IL6ST,stMLnet
ECM1,ITGB4,stMLnet
EDA,EDA2R,stMLnet
EDA,EDAR,stMLnet
EDIL3,ITGB3,stMLnet
EDIL3,ITGB5,stMLnet
EDN1,EDNRA,stMLnet
EDN1,EDNRB,stMLnet
EDN1,KEL,stMLnet
EDN2,EDNRA,stMLnet
EDN2,EDNRB,stMLnet
EDN2,KEL,stMLnet
EDN3,EDNRA,stMLnet
EDN3,EDNRB,stMLnet
EDN3,KEL,stMLnet
EFEMP1,EGFR,stMLnet
EFNA1,EPHA1,stMLnet
EFNA1,EPHA2,stMLnet
EFNA1,EPHA3,stMLnet
EFNA1,EPHA4,stMLnet
EFNA1,EPHA5,stMLnet
EFNA1,EPHA6,stMLnet
EFNA1,EPHA7,stMLnet
EFNA1,EPHA8,stMLnet
EFNA1,EPHB6,stMLnet
EFNA4,EPHA1,stMLnet
EFNA4,EPHA2,stMLnet
EFNA4,EPHA3,stMLnet
EFNA4,EPHA4,stMLnet
EFNA4,EPHA5,stMLnet
EFNA4,EPHA6,stMLnet
EFNA4,EPHA7,stMLnet
EFNA4,EPHA8,stMLnet
EFNB2,EPHA3,stMLnet
EFNB2,EPHA4,stMLnet
EFNB2,EPHA6,stMLnet
EFNB2,EPHB1,stMLnet
EFNB2,EPHB2,stMLnet
EFNB2,EPHB3,stMLnet
EFNB2,EPHB4,stMLnet
EFNB2,EPHB6,stMLnet
EFNB2,GRM1,stMLnet
EFNB2,GRM5,stMLnet
EFNB2,PECAM1,stMLnet
EFNB3,EPHA4,stMLnet
EFNB3,EPHB1,stMLnet
EFNB3,EPHB2,stMLnet
EFNB3,EPHB3,stMLnet
EFNB3,EPHB4,stMLnet
EFNB3,EPHB6,stMLnet
EGF,CAV1,stMLnet
EGF,EGFR,stMLnet
EGF,ERBB2,stMLnet
EGF,ERBB3,stMLnet
EGF,ERBB4,stMLnet
EGF,FSHR,stMLnet
EGFL8,NCR3,stMLnet
ENAM,CD63,stMLnet
EPGN,EGFR,stMLnet
EPHA4,EFNB1,stMLnet
EPO,EPHB4,stMLnet
EPO,EPOR,stMLnet
EREG,EGFR,stMLnet
EREG,ERBB2,stMLnet
EREG,ERBB3,stMLnet
EREG,ERBB4,stMLnet
ESAM,ESAM,stMLnet
F10,F3,stMLnet
F10,ITGAM,stMLnet
F10,ITGB2,stMLnet
F11,GP1BA,stMLnet
F11R,F11R,stMLnet
F11R,ITGAL,stMLnet
F11R,ITGB2,stMLnet
F11R,JAM2,stMLnet
F11R,JAM3,stMLnet
F12,GP1BA,stMLnet
F13A1,ITGA4,stMLnet
F13A1,ITGA9,stMLnet
F13A1,ITGB1,stMLnet
F2,F2R,stMLnet
F2,F2RL1,stMLnet
F2,F2RL2,stMLnet
F2,F2RL3,stMLnet
F2,GP1BA,stMLnet
F2,GP1BB,stMLnet
F2,GP9,stMLnet
F2,ITGA2B,stMLnet
F2,PARD3,stMLnet
F2,THBD,stMLnet
F7,F3,stMLnet
F8,ASGR2,stMLnet
F8,LDLR,stMLnet
F8,LRP1,stMLnet
F9,LRP1,stMLnet
FAM3C,LIFR,stMLnet
FAM3D,FPR1,stMLnet
FAM3D,FPR2,stMLnet
FARP2,PLXNA1,stMLnet
FARP2,PLXNA2,stMLnet
FARP2,PLXNA3,stMLnet
FARP2,PLXNA4,stMLnet
FASLG,FAS,stMLnet
FASLG,TNFRSF1A,stMLnet
FASLG,TNFRSF6B,stMLnet
FAT4,DCHS1,stMLnet
FBLN1,ITGB1,stMLnet
FBN1,ITGA5,stMLnet
FBN1,ITGAV,stMLnet
FBN1,ITGB1,stMLnet
FBN1,ITGB3,stMLnet
FBN1,ITGB6,stMLnet
FCER2,CR2,stMLnet
FCER2,ITGAM,stMLnet
FCER2,ITGAV,stMLnet
FCER2,ITGAX,stMLnet
FCER2,ITGB2,stMLnet
FCER2,ITGB3,stMLnet
FCN2,LRP1,stMLnet
FGA,ITGA2B,stMLnet
FGA,ITGA5,stMLnet
FGA,ITGAD,stMLnet
FGA,ITGAM,stMLnet
FGA,ITGAV,stMLnet
FGA,ITGAX,stMLnet
FGA,ITGB1,stMLnet
FGA,ITGB2,stMLnet
FGA,ITGB3,stMLnet
FGA,PLAUR,stMLnet
FGA,TLR4,stMLnet
FGB,ITGA2B,stMLnet
FGB,ITGA5,stMLnet
FGB,ITGAM,stMLnet
FGB,ITGAV,stMLnet
FGB,ITGB1,stMLnet
FGB,ITGB2,stMLnet
FGB,TLR4,stMLnet
FGF1,CD44,stMLnet
FGF1,CSPG4,stMLnet
FGF1,EGFR,stMLnet
FGF1,FGFR1,stMLnet
FGF1,FGFR2,stMLnet
FGF1,FGFR3,stMLnet
FGF1,FGFR4,stMLnet
FGF1,FGFRL1,stMLnet
FGF1,NRP1,stMLnet
FGF10,FGFR1,stMLnet
FGF10,FGFR2,stMLnet
FGF10,FGFR3,stMLnet
FGF10,FGFR4,stMLnet
FGF10,FGFRL1,stMLnet
FGF11,FGFR1,stMLnet
FGF11,FGFR2,stMLnet
FGF11,FGFR3,stMLnet
FGF11,FGFR4,stMLnet
FGF12,FGFR1,stMLnet
FGF12,FGFR2,stMLnet
FGF12,FGFR3,stMLnet
FGF12,FGFR4,stMLnet
FGF13,EGFR,stMLnet
FGF13,FGFR1,stMLnet
FGF13,FGFR2,stMLnet
FGF13,FGFR3,stMLnet
FGF13,FGFR4,stMLnet
FGF13,SCN5A,stMLnet
FGF13,SCN8A,stMLnet
FGF14,FGFR1,stMLnet
FGF14,FGFR2,stMLnet
FGF14,FGFR3,stMLnet
FGF14,FGFR4,stMLnet
FGF16,FGFR1,stMLnet
FGF16,FGFR2,stMLnet
FGF16,FGFR3,stMLnet
FGF16,FGFR4,stMLnet
FGF17,FGFR1,stMLnet
FGF17,FGFR2,stMLnet
FGF17,FGFR3,stMLnet
FGF17,FGFR4,stMLnet
FGF18,FGFR1,stMLnet
FGF18,FGFR2,stMLnet
FGF18,FGFR3,stMLnet
FGF18,FGFR4,stMLnet
FGF19,FGFR1,stMLnet
FGF19,FGFR2,stMLnet
FGF19,FGFR3,stMLnet
FGF19,FGFR4,stMLnet
FGF19,KLB,stMLnet
FGF2,CD44,stMLnet
FGF2,FGFR1,stMLnet
FGF2,FGFR2,stMLnet
FGF2,FGFR3,stMLnet
FGF2,FGFR4,stMLnet
FGF2,FGFRL1,stMLnet
FGF2,GPC4,stMLnet
FGF2,NRP1,stMLnet
FGF2,SDC1,stMLnet
FGF2,SDC2,stMLnet
FGF2,SDC3,stMLnet
FGF2,SDC4,stMLnet
FGF20,FGFR1,stMLnet
FGF20,FGFR2,stMLnet
FGF20,FGFR3,stMLnet
FGF20,FGFR4,stMLnet
FGF21,FGFR1,stMLnet
FGF21,FGFR2,stMLnet
FGF21,FGFR3,stMLnet
FGF21,FGFR4,stMLnet
FGF22,FGFR1,stMLnet
FGF22,FGFR2,stMLnet
FGF22,FGFRL1,stMLnet
FGF23,FGFR1,stMLnet
FGF23,FGFR2,stMLnet
FGF23,FGFR3,stMLnet
FGF23,FGFR4,stMLnet
FGF23,KL,stMLnet
FGF3,FGFR1,stMLnet
FGF3,FGFR2,stMLnet
FGF3,FGFR3,stMLnet
FGF3,FGFR4,stMLnet
FGF3,FGFRL1,stMLnet
FGF4,FGFR1,stMLnet
FGF4,FGFR2,stMLnet
FGF4,FGFR3,stMLnet
FGF4,FGFR4,stMLnet
FGF4,FGFRL1,stMLnet
FGF4,NRP1,stMLnet
FGF5,FGFR1,stMLnet
FGF5,FGFR2,stMLnet
FGF5,FGFR3,stMLnet
FGF5,FGFR4,stMLnet
FGF6,FGFR1,stMLnet
FGF6,FGFR2,stMLnet
FGF6,FGFR3,stMLnet
FGF6,FGFR4,stMLnet
FGF6,SDC4,stMLnet
FGF7,FGFR1,stMLnet
FGF7,FGFR2,stMLnet
FGF7,FGFR3,stMLnet
FGF7,NRP1,stMLnet
FGF8,FGFR1,stMLnet
FGF8,FGFR2,stMLnet
FGF8,FGFR3,stMLnet
FGF8,FGFR4,stMLnet
FGF8,FGFRL1,stMLnet
FGF9,FGFR1,stMLnet
FGF9,FGFR2,stMLnet
FGF9,FGFR3,stMLnet
FGF9,FGFR4,stMLnet
FGG,ITGA2B,stMLnet
FGG,ITGA5,stMLnet
FGG,ITGAV,stMLnet
FGG,ITGB1,stMLnet
FGG,ITGB2,stMLnet
FGG,TLR4,stMLnet
FGL1,EGFR,stMLnet
FGL1,LAG3,stMLnet
FIGF,FLT1,stMLnet
FIGF,FLT4,stMLnet
FIGF,ITGA1,stMLnet
FIGF,ITGA2,stMLnet
FIGF,ITGA4,stMLnet
FIGF,ITGA5,stMLnet
FIGF,ITGA9,stMLnet
FIGF,ITGB1,stMLnet
FIGF,KDR,stMLnet
FIGF,NRP2,stMLnet
FLT3LG,FLT3,stMLnet
FN1,C5AR1,stMLnet
FN1,CD44,stMLnet
FN1,CD79A,stMLnet
FN1,COL13A1,stMLnet
FN1,FLT4,stMLnet
FN1,IL17RC,stMLnet
FN1,ITGA2,stMLnet
FN1,ITGA2B,stMLnet
FN1,ITGA3,stMLnet
FN1,ITGA4,stMLnet
FN1,ITGA5,stMLnet
FN1,ITGA6,stMLnet
FN1,ITGA8,stMLnet
FN1,ITGA9,stMLnet
FN1,ITGAV,stMLnet
FN1,ITGB1,stMLnet
FN1,ITGB3,stMLnet
FN1,ITGB6,stMLnet
FN1,ITGB7,stMLnet
FN1,ITGB8,stMLnet
FN1,MAG,stMLnet
FN1,NT5E,stMLnet
FN1,PLAUR,stMLnet
FN1,SDC1,stMLnet
FN1,SDC2,stMLnet
FN1,SDC4,stMLnet
FN1,TNFRSF11B,stMLnet
FN1,TSHR,stMLnet
FNDC5,ITGAV,stMLnet
FNDC5,ITGB5,stMLnet
FRAS1,ITGA8,stMLnet
FRAS1,ITGB1,stMLnet
FREM1,ITGA8,stMLnet
FREM1,ITGB1,stMLnet
FREM2,ITGA8,stMLnet
FREM2,ITGB1,stMLnet
FSHB,FSHR,stMLnet
FST,BMPR1B,stMLnet
FST,BMPR2,stMLnet
FZD8,CKAP4,stMLnet
GAD1,GRM4,stMLnet
GAL,GALR1,stMLnet
GAL,GALR2,stMLnet
GAL,GALR3,stMLnet
GALP,GALR1,stMLnet
GALP,GALR2,stMLnet
GALP,GALR3,stMLnet
GAS6,AXL,stMLnet
GAS6,MERTK,stMLnet
GAST,CCKAR,stMLnet
GAST,CCKBR,stMLnet
GCG,GCGR,stMLnet
GCG,GIPR,stMLnet
GCG,GLP1R,stMLnet
GCG,GLP2R,stMLnet
GDF1,ACVR1,stMLnet
GDF1,ACVR1B,stMLnet
GDF1,ACVR1C,stMLnet
GDF1,ACVR2A,stMLnet
GDF1,ACVR2B,stMLnet
GDF1,BMPR1A,stMLnet
GDF1,BMPR2,stMLnet
GDF1,CFC1,stMLnet
GDF10,ACVR1B,stMLnet
GDF10,ACVR2A,stMLnet
GDF11,ACVR1B,stMLnet
GDF11,ACVR2A,stMLnet
GDF11,ACVR2B,stMLnet
GDF11,TGFBR1,stMLnet
GDF15,TGFBR2,stMLnet
GDF2,ACVR1,stMLnet
GDF2,ACVR2A,stMLnet
GDF2,ACVR2B,stMLnet
GDF2,ACVRL1,stMLnet
GDF2,BMPR2,stMLnet
GDF2,ENG,stMLnet
GDF3,ACVR1B,stMLnet
GDF3,ACVR1C,stMLnet
GDF3,ACVR2A,stMLnet
GDF3,ACVR2B,stMLnet
GDF3,CFC1,stMLnet
GDF3,TDGF1,stMLnet
GDF5,ACVR1,stMLnet
GDF5,ACVR2A,stMLnet
GDF5,ACVR2B,stMLnet
GDF5,BMPR1A,stMLnet
GDF5,BMPR1B,stMLnet
GDF5,BMPR2,stMLnet
GDF5,ROR2,stMLnet
GDF6,ACVR2A,stMLnet
GDF6,ACVR2B,stMLnet
GDF6,BMPR1A,stMLnet
GDF6,BMPR1B,stMLnet
GDF6,BMPR2,stMLnet
GDF7,ACVR2A,stMLnet
GDF7,ACVR2B,stMLnet
GDF7,BMPR1A,stMLnet
GDF7,BMPR1B,stMLnet
GDF7,BMPR2,stMLnet
GDF9,ACVR1B,stMLnet
GDF9,ACVR2A,stMLnet
GDF9,BMPR1A,stMLnet
GDF9,BMPR1B,stMLnet
GDF9,BMPR2,stMLnet
GDF9,TGFBR1,stMLnet
GDNF,EDNRB,stMLnet
GDNF,GFRA1,stMLnet
GDNF,GFRA2,stMLnet
GDNF,RET,stMLnet
GDNF,SLC44A5,stMLnet
GH1,GHR,stMLnet
GH1,PRLR,stMLnet
GH2,GHR,stMLnet
GHRH,GHRHR,stMLnet
GHRH,GHSR,stMLnet
GHRH,VIPR1,stMLnet
GHRH,VIPR2,stMLnet
GHRL,GHSR,stMLnet
GHRL,GPR39,stMLnet
GHRL,MLNR,stMLnet
GIP,DPP4,stMLnet
GIP,GIPR,stMLnet
GIP,INSR,stMLnet
GLG1,SELE,stMLnet
GNAI2,ADCY1,stMLnet
GNAI2,ADCY7,stMLnet
GNAI2,ADCY8,stMLnet
GNAI2,ADCY9,stMLnet
GNAI2,ADORA1,stMLnet
GNAI2,ADRA2A,stMLnet
GNAI2,ADRA2B,stMLnet
GNAI2,AGTR2,stMLnet
GNAI2,C5AR1,stMLnet
GNAI2,CAV1,stMLnet
GNAI2,CCR5,stMLnet
GNAI2,CNR1,stMLnet
GNAI2,CXCR1,stMLnet
GNAI2,CXCR2,stMLnet
GNAI2,CXCR3,stMLnet
GNAI2,EDNRA,stMLnet
GNAI2,EDNRB,stMLnet
GNAI2,EGFR,stMLnet
GNAI2,F2R,stMLnet
GNAI2,FPR1,stMLnet
GNAI2,IGF1R,stMLnet
GNAI2,LHCGR,stMLnet
GNAI2,LPAR3,stMLnet
GNAI2,MTNR1A,stMLnet
GNAI2,MTNR1B,stMLnet
GNAI2,OPRD1,stMLnet
GNAI2,OPRM1,stMLnet
GNAI2,P2RY12,stMLnet
GNAI2,S1PR1,stMLnet
GNAI2,S1PR3,stMLnet
GNAI2,S1PR4,stMLnet
GNAI2,S1PR5,stMLnet
GNAI2,TBXA2R,stMLnet
GNAI2,TSHR,stMLnet
GNAI2,UNC5B,stMLnet
GNAS,ADCY1,stMLnet
GNAS,ADCY7,stMLnet
GNAS,ADCY8,stMLnet
GNAS,ADCY9,stMLnet
GNAS,ADRB2,stMLnet
GNAS,AVPR2,stMLnet
GNAS,CRHR1,stMLnet
GNAS,GCGR,stMLnet
GNAS,GLP1R,stMLnet
GNAS,LHCGR,stMLnet
GNAS,PTGDR,stMLnet
GNAS,TSHR,stMLnet
GNAS,VIPR1,stMLnet
GNB3,GABBR2,stMLnet
GNRH1,GNRHR,stMLnet
GNRH2,GNRHR,stMLnet
GP1BA,ITGAM,stMLnet
GP1BA,ITGB2,stMLnet
GPC3,CD81,stMLnet
GPC3,IGF1R,stMLnet
GPHA2,TSHR,stMLnet
GPHB5,TSHR,stMLnet
GPI,AMFR,stMLnet
GREM1,KDR,stMLnet
GRN,SORT1,stMLnet
GRN,TNFRSF1A,stMLnet
GRN,TNFRSF1B,stMLnet
GRP,BRS3,stMLnet
GRP,GRPR,stMLnet
GRP,NMBR,stMLnet
GUCA2A,GUCY2C,stMLnet
GUCA2B,GUCY2C,stMLnet
GUCA2B,GUCY2D,stMLnet
GZMA,F2R,stMLnet
GZMA,F2RL1,stMLnet
GZMA,F2RL2,stMLnet
GZMA,F2RL3,stMLnet
GZMA,PARD3,stMLnet
GZMB,CHRM3,stMLnet
GZMB,IGF2R,stMLnet
HAS2,CD44,stMLnet
HAS2,HMMR,stMLnet
HAVCR1,CD300LB,stMLnet
HBEGF,CD44,stMLnet
HBEGF,CD82,stMLnet
HBEGF,CD9,stMLnet
HBEGF,EGFR,stMLnet
HBEGF,ERBB2,stMLnet
HBEGF,ERBB4,stMLnet
HBEGF,PRLR,stMLnet
HCRT,HCRTR1,stMLnet
HCRT,HCRTR2,stMLnet
HCRT,NPFFR2,stMLnet
HDC,HRH1,stMLnet
HDC,HRH2,stMLnet
HDC,HRH3,stMLnet
HDC,HRH4,stMLnet
HGF,CD44,stMLnet
HGF,MET,stMLnet
HGF,SDC1,stMLnet
HGF,SDC2,stMLnet
HGF,ST14,stMLnet
HHLA3,CHRM3,stMLnet
HLA-A,APLP2,stMLnet
HLA-A,CD3D,stMLnet
HLA-A,CD3G,stMLnet
HLA-A,CD8A,stMLnet
HLA-A,ERBB2,stMLnet
HLA-A,KIR2DL1,stMLnet
HLA-A,KIR2DL3,stMLnet
HLA-A,KIR3DL1,stMLnet
HLA-A,KIR3DL2,stMLnet
HLA-A,LILRB1,stMLnet
HLA-A,LILRB2,stMLnet
HLA-B,CANX,stMLnet
HLA-B,CD3D,stMLnet
HLA-B,CD3G,stMLnet
HLA-B,KIR2DL3,stMLnet
HLA-B,KIR3DL1,stMLnet
HLA-B,KIR3DL2,stMLnet
HLA-B,KLRD1,stMLnet
HLA-B,LILRB1,stMLnet
HLA-B,LILRB2,stMLnet
HLA-C,CD3D,stMLnet
HLA-C,CD3G,stMLnet
HLA-C,KIR2DL1,stMLnet
HLA-C,KIR2DL3,stMLnet
HLA-C,KIR2DS4,stMLnet
HLA-C,KIR3DL1,stMLnet
