source,target,origin
B2M,KIR2DL1,stMLnet
B2M,KIR2DL3,stMLnet
B2M,KIR3DL1,stMLnet
B2M,KLRC1,stMLnet
B2M,KLRD1,stMLnet
B2M,LILRB1,stMLnet
B2M,LILRB2,stMLnet
B2M,TFRC,stMLnet
BCAN,EGFR,stMLnet
BCAN,NRCAM,stMLnet
BDNF,DRD4,stMLnet
BDNF,NGFR,stMLnet
BDNF,NTRK2,stMLnet
BDNF,SORT1,stMLnet
BGN,FGFR3,stMLnet
BGN,LY96,stMLnet
BGN,TLR1,stMLnet
BGN,TLR2,stMLnet
BGN,TLR4,stMLnet
BMP10,ACVR1,stMLnet
BMP10,ACVR2A,stMLnet
BMP10,ACVR2B,stMLnet
BMP10,ACVRL1,stMLnet
BMP10,BMPR1A,stMLnet
BMP10,BMPR1B,stMLnet
BMP10,BMPR2,stMLnet
BMP10,ENG,stMLnet
BMP15,ACVR1,stMLnet
BMP15,ACVR2A,stMLnet
BMP15,ACVR2B,stMLnet
BMP15,BMPR1A,stMLnet
BMP15,BMPR1B,stMLnet
BMP15,BMPR2,stMLnet
BMP2,ACVR1,stMLnet
BMP2,ACVR2A,stMLnet
BMP2,ACVR2B,stMLnet
BMP2,BMPR1A,stMLnet
BMP2,BMPR1B,stMLnet
BMP2,BMPR2,stMLnet
BMP2,ENG,stMLnet
BMP2,HJV,stMLnet
BMP2,RGMB,stMLnet
BMP3,ACVR1,stMLnet
BMP3,ACVR2A,stMLnet
BMP3,ACVR2B,stMLnet
BMP3,BMPR1A,stMLnet
BMP3,BMPR1B,stMLnet
BMP3,BMPR2,stMLnet
BMP4,ACVR1,stMLnet
BMP4,ACVR2A,stMLnet
BMP4,ACVR2B,stMLnet
BMP4,BMPR1A,stMLnet
BMP4,BMPR1B,stMLnet
BMP4,BMPR2,stMLnet
BMP4,CFC1,stMLnet
BMP4,RGMB,stMLnet
BMP5,ACVR1,stMLnet
BMP5,ACVR2A,stMLnet
BMP5,ACVR2B,stMLnet
BMP5,BMPR1A,stMLnet
BMP5,BMPR1B,stMLnet
BMP5,BMPR2,stMLnet
BMP5,HJV,stMLnet
BMP6,ACVR1,stMLnet
BMP6,ACVR2A,stMLnet
BMP6,ACVR2B,stMLnet
BMP6,BMPR1A,stMLnet
BMP6,BMPR1B,stMLnet
BMP6,BMPR2,stMLnet
BMP6,HJV,stMLnet
BMP7,ACVR1,stMLnet
BMP7,ACVR2A,stMLnet
BMP7,ACVR2B,stMLnet
BMP7,BMPR1A,stMLnet
BMP7,BMPR1B,stMLnet
BMP7,BMPR2,stMLnet
BMP7,ENG,stMLnet
BMP7,HJV,stMLnet
BMP8A,ACVR1,stMLnet
BMP8A,ACVR2A,stMLnet
BMP8A,ACVR2B,stMLnet
BMP8A,BMPR1A,stMLnet
BMP8A,BMPR1B,stMLnet
BMP8A,BMPR2,stMLnet
BMP8A,TGFBR1,stMLnet
BMP8A,TGFBR2,stMLnet
BMP8B,ACVR1,stMLnet
BMP8B,ACVR2A,stMLnet
BMP8B,ACVR2B,stMLnet
BMP8B,BMPR1A,stMLnet
BMP8B,BMPR1B,stMLnet
BMP8B,BMPR2,stMLnet
BSG,SELE,stMLnet
BSG,SLC16A1,stMLnet
BSG,SLC16A7,stMLnet
BTC,EGFR,stMLnet
BTC,ERBB2,stMLnet
BTC,ERBB3,stMLnet
BTC,ERBB4,stMLnet
BTLA,CD247,stMLnet
BTLA,CD79A,stMLnet
BTLA,TNFRSF14,stMLnet
C1orf200,LY6G6C,stMLnet
C1QA,CSPG4,stMLnet
C1QB,LRP1,stMLnet
C1QTNF1,AVPR2,stMLnet
C3,C3AR1,stMLnet
C3,C5AR2,stMLnet
C3,CD19,stMLnet
C3,CD46,stMLnet
C3,CD81,stMLnet
C3,CR1,stMLnet
C3,CR2,stMLnet
C3,IFITM1,stMLnet
C3,ITGAM,stMLnet
C3,ITGAX,stMLnet
C3,ITGB2,stMLnet
C3,LRP1,stMLnet
C3,NRP1,stMLnet
C4A,C3AR1,stMLnet
C4A,C5AR2,stMLnet
C4A,CR1,stMLnet
C4A,CR2,stMLnet
C4A,NRP1,stMLnet
C4B,CD46,stMLnet
C4B,CR1,stMLnet
C4BPA,BMPR2,stMLnet
C4BPA,CD40,stMLnet
C4BPA,LRP1,stMLnet
C5,C5AR1,stMLnet
C5,C5AR2,stMLnet
CADM1,CADM1,stMLnet
CADM1,CADM3,stMLnet
CADM1,CRTAM,stMLnet
CADM1,NECTIN3,stMLnet
CADM3,CADM1,stMLnet
CADM3,CADM3,stMLnet
CADM3,NECTIN1,stMLnet
CADM3,NECTIN3,stMLnet
CALCA,CALCR,stMLnet
CALCA,CALCRL,stMLnet
CALCA,RAMP1,stMLnet
CALCA,RAMP2,stMLnet
CALCB,CALCR,stMLnet
CALCB,CALCRL,stMLnet
CALCB,RAMP1,stMLnet
CALM1,ABCA1,stMLnet
CALM1,ADCY8,stMLnet
CALM1,ADCYAP1R1,stMLnet
CALM1,AQP6,stMLnet
CALM1,CACNA1C,stMLnet
CALM1,CALCR,stMLnet
CALM1,CNGA2,stMLnet
CALM1,CRHR1,stMLnet
CALM1,EGFR,stMLnet
CALM1,FAS,stMLnet
CALM1,GLP1R,stMLnet
CALM1,GLP2R,stMLnet
CALM1,GP6,stMLnet
CALM1,GRM3,stMLnet
CALM1,GRM4,stMLnet
CALM1,GRM5,stMLnet
CALM1,GRM7,stMLnet
CALM1,HMMR,stMLnet
CALM1,HTR2C,stMLnet
CALM1,INSR,stMLnet
CALM1,KCNH1,stMLnet
CALM1,KCNN4,stMLnet
CALM1,KCNQ1,stMLnet
CALM1,KCNQ3,stMLnet
CALM1,KCNQ5,stMLnet
CALM1,MIP,stMLnet
CALM1,MYLK,stMLnet
CALM1,MYLK2,stMLnet
CALM1,OPRM1,stMLnet
CALM1,PDE1A,stMLnet
CALM1,PDE1B,stMLnet
CALM1,PDE1C,stMLnet
CALM1,PTH2R,stMLnet
CALM1,PTPRA,stMLnet
CALM1,SCN10A,stMLnet
CALM1,SCN4A,stMLnet
CALM1,SCTR,stMLnet
CALM1,SELL,stMLnet
CALM1,TRPC3,stMLnet
CALM1,TRPC5,stMLnet
CALM1,VIPR1,stMLnet
CALM2,ABCA1,stMLnet
CALM2,ADCY8,stMLnet
